name,Ubiquitination,Phosphorylation,Salmonella,Shigella
A6ZKI3,1,0,0,1
O14977,1,0,0,1
O43617,1,0,0,1
O43920,1,0,1,0
O75911,1,0,1,0
P55061,1,0,1,0
P62891,1,0,0,1
Q32Q12,1,0,0,1
Q5W0H4,1,0,1,0
Q8IYN2,1,0,0,1
Q96DC9,1,0,0,1
Q96QK8,1,0,0,1
Q9BWD3,1,0,0,1
Q9H490,1,0,1,0
A2A3N6,1,1,0,1
A6NIZ1,1,1,0,1
O00124,1,1,0,1
O00214,1,1,0,1
O00233,1,1,0,1
O00291,1,1,0,1
O00458,1,1,0,1
O00487,1,1,0,1
O00767,1,1,1,1
O14530,1,1,1,0
O14579,1,1,0,1
O14763,1,1,0,1
O14763-2,1,1,0,1
O14936,1,1,0,1
O14939,1,1,1,1
O15067,1,1,1,1
O15155,1,1,0,1
O15162,1,1,0,1
O15260,1,1,0,1
O15304,1,1,0,1
O15344,1,1,1,1
O15379,1,1,0,1
O15427,1,1,0,1
O15479,1,1,0,1
O15498,1,1,0,1
O15551,1,1,0,1
O43166,1,1,0,1
O43395,1,1,0,1
O43709,1,1,1,1
O43847,1,1,1,1
O60496,1,1,0,1
O60725,1,1,0,1
O75312,1,1,0,1
O75676,1,1,1,1
O75688,1,1,1,1
O75695,1,1,1,1
O75794,1,1,1,1
O75886,1,1,1,1
O76075,1,1,0,1
O94806,1,1,1,0
O94817,1,1,1,0
O94952,1,1,0,1
O95229,1,1,1,0
O95376,1,1,0,1
O95466,1,1,1,1
O95671,1,1,1,0
P04899,1,1,1,1
P07948,1,1,0,1
P14373,1,1,1,0
P17535,1,1,1,1
P17707,1,1,0,1
P20226,1,1,0,1
P20337,1,1,0,1
P21399,1,1,0,1
P21964,1,1,0,1
P24385,1,1,1,1
P27448,1,1,0,1
P29992,1,1,1,1
P30626,1,1,0,1
P36404,1,1,1,1
P36405,1,1,0,1
P37268,1,1,1,1
P39656,1,1,0,1
P41134,1,1,0,1
P43357,1,1,0,1
P46778,1,1,1,1
P46934,1,1,1,0
P49257,1,1,0,1
P49427,1,1,1,1
P49703,1,1,0,1
P49761,1,1,1,0
P49770,1,1,1,0
P49795,1,1,0,1
P51970,1,1,0,1
P53680,1,1,0,1
P53816,1,1,1,0
P57735,1,1,0,1
P61962,1,1,1,1
P62304,1,1,1,1
P63092,1,1,1,0
P63096,1,1,1,1
P68543,1,1,1,0
P78362,1,1,1,0
P84095,1,1,1,1
P98170,1,1,1,1
Q01664,1,1,1,1
Q01968,1,1,1,1
Q03393,1,1,1,0
Q03519,1,1,1,0
Q05655,1,1,1,1
Q06481,1,1,1,1
Q07817,1,1,0,1
Q07820,1,1,1,1
Q07820-2,1,1,0,1
Q08AF3,1,1,0,1
Q12846,1,1,1,1
Q12893,1,1,0,1
Q12982,1,1,1,1
Q13015,1,1,1,0
Q13057,1,1,0,1
Q13114,1,1,0,1
Q13137,1,1,1,0
Q13277,1,1,0,1
Q13470,1,1,1,1
Q13625,1,1,0,1
Q13794,1,1,0,1
Q13829,1,1,1,1
Q13888,1,1,0,1
Q13889,1,1,0,1
Q14156,1,1,1,0
Q14160,1,1,1,1
Q14166,1,1,1,1
Q14432,1,1,1,1
Q14534,1,1,1,0
Q14573,1,1,0,1
Q14657,1,1,0,1
Q15036,1,1,0,1
Q15040,1,1,0,1
Q15121,1,1,1,1
Q15392,1,1,1,1
Q15477,1,1,1,1
Q15696,1,1,0,1
Q15714,1,1,0,1
Q15751,1,1,1,1
Q15800,1,1,1,1
Q16850,1,1,0,1
Q53EZ4,1,1,1,0
Q53GA4,1,1,0,1
Q53LP3,1,1,1,0
Q58FF8,1,1,0,1
Q5BJD5,1,1,0,1
Q5MNZ6,1,1,0,1
Q5SRQ6,1,1,0,1
Q5SW79,1,1,1,1
Q5T0N5,1,1,1,1
Q5TC63,1,1,0,1
Q5TDH0,1,1,1,1
Q5U5Q3,1,1,1,0
Q5VV42,1,1,1,0
Q5VVQ6,1,1,1,1
Q5VWC4,1,1,1,1
Q6GQQ9,1,1,1,1
Q6IAA8,1,1,0,1
Q6IBW4,1,1,1,0
Q6ICB0,1,1,1,1
Q6ICG6,1,1,1,1
Q6L8Q7,1,1,1,1
Q6NUK4,1,1,0,1
Q6P158,1,1,1,1
Q6P1M3,1,1,0,1
Q6P996,1,1,0,1
Q6P9B6,1,1,0,1
Q6PID6,1,1,1,1
Q6PJG6,1,1,0,1
Q6WCQ1,1,1,1,1
Q6ZNJ1,1,1,0,1
Q6ZRV2,1,1,1,1
Q71RG4,1,1,0,1
Q7L8J4,1,1,1,1
Q7LBR1,1,1,1,1
Q7Z460,1,1,1,1
Q7Z4H7,1,1,1,1
Q7Z6J0,1,1,0,1
Q86U06,1,1,1,0
Q86W50,1,1,0,1
Q86YD1,1,1,0,1
Q8IV63,1,1,0,1
Q8IWA4,1,1,0,1
Q8IWT3,1,1,0,1
Q8IY22,1,1,1,1
Q8IY63,1,1,0,1
Q8IY95-2,1,1,0,1
Q8IYW5,1,1,1,1
Q8N122,1,1,1,1
Q8N183,1,1,1,1
Q8N1F8,1,1,0,1
Q8N3D4,1,1,0,1
Q8N3E9,1,1,0,1
Q8N531,1,1,0,1
Q8N5K1,1,1,1,0
Q8N5M9,1,1,0,1
Q8N684,1,1,0,1
Q8N7R7,1,1,0,1
Q8N9N7,1,1,0,1
Q8N9Z2,1,1,0,1
Q8NB90,1,1,0,1
Q8NBR6,1,1,0,1
Q8NCD3,1,1,1,1
Q8ND76,1,1,0,1
Q8ND90,1,1,1,0
Q8NFH5,1,1,1,1
Q8NHG8,1,1,1,1
Q8TB40,1,1,1,0
Q8TDZ2,1,1,1,0
Q8TER5,1,1,1,0
Q8TEV9,1,1,1,1
Q8TF42,1,1,1,1
Q8WUM9,1,1,0,1
Q8WUN7,1,1,0,1
Q8WUX9,1,1,0,1
Q8WV16,1,1,0,1
Q92504,1,1,0,1
Q92667,1,1,0,1
Q92685,1,1,0,1
Q92783,1,1,1,1
Q93096,1,1,0,1
Q969E2-2,1,1,0,1
Q969G5,1,1,0,1
Q969U7,1,1,1,1
Q969V5,1,1,0,1
Q96A57,1,1,1,1
Q96AJ9,1,1,1,1
Q96BY9,1,1,0,1
Q96C92,1,1,1,0
Q96CG3,1,1,0,1
Q96CX6,1,1,1,1
Q96DB2,1,1,0,1
Q96DX7,1,1,0,1
Q96EE3,1,1,1,0
Q96EP0,1,1,0,1
Q96F44,1,1,1,1
Q96G28,1,1,0,1
Q96G74,1,1,1,1
Q96GS6,1,1,0,1
Q96JN8,1,1,0,1
Q96K37,1,1,0,1
Q96P48,1,1,0,1
Q96Q89,1,1,1,0
Q96RQ1,1,1,0,1
Q96RS0,1,1,1,0
Q96RU8,1,1,0,1
Q96S21,1,1,0,1
Q96S44,1,1,0,1
Q96S82,1,1,1,1
Q96SB3,1,1,0,1
Q99436,1,1,1,1
Q99584,1,1,0,1
Q99755,1,1,0,1
Q99828,1,1,1,0
Q99933,1,1,0,1
Q9BPX5,1,1,1,0
Q9BQ67,1,1,0,1
Q9BRG1,1,1,1,0
Q9BRJ7,1,1,1,0
Q9BRQ8,1,1,0,1
Q9BRS2,1,1,1,1
Q9BRX2,1,1,0,1
Q9BRZ2,1,1,1,0
Q9BT22,1,1,1,0
Q9BTE7,1,1,1,0
Q9BTX1,1,1,1,1
Q9BUB7,1,1,0,1
Q9BUE0,1,1,0,1
Q9BUZ4,1,1,0,1
Q9BVL2,1,1,0,1
Q9BVS4,1,1,1,0
Q9BXF6,1,1,1,1
Q9BXS9,1,1,0,1
Q9BXW9,1,1,1,1
Q9BY50,1,1,0,1
Q9BY89,1,1,1,1
Q9BYC9,1,1,1,0
Q9BYE7,1,1,0,1
Q9BZ23,1,1,1,0
Q9C0C9,1,1,1,1
Q9C0E2,1,1,1,0
Q9GZY8,1,1,0,1
Q9H0M0,1,1,1,1
Q9H0M0-6,1,1,0,1
Q9H1A4,1,1,1,0
Q9H201,1,1,0,1
Q9H2G2,1,1,1,1
Q9H3M7,1,1,1,0
Q9H3N1,1,1,0,1
Q9H410,1,1,1,1
Q9H4L5,1,1,1,1
Q9H4Y5,1,1,0,1
Q9H6H4,1,1,0,1
Q9H6K1,1,1,1,1
Q9H6Y2,1,1,0,1
Q9H7D7,1,1,0,1
Q9HA65,1,1,0,1
Q9HC07,1,1,0,1
Q9HCC9,1,1,0,1
Q9HCK5,1,1,0,1
Q9HCM4,1,1,0,1
Q9NPH2,1,1,0,1
Q9NPQ8,1,1,1,1
Q9NQT4,1,1,1,0
Q9NR31,1,1,1,1
Q9NRD1,1,1,0,1
Q9NRF8,1,1,1,0
Q9NRW7,1,1,0,1
Q9NTX7,1,1,1,0
Q9NUJ7,1,1,1,0
Q9NUQ2,1,1,0,1
Q9NV92,1,1,0,1
Q9NVF7,1,1,0,1
Q9NVM9,1,1,0,1
Q9NVR0,1,1,1,1
Q9NWM0,1,1,0,1
Q9NWV4,1,1,0,1
Q9NWZ5,1,1,0,1
Q9NX09,1,1,1,1
Q9NXC5,1,1,1,1
Q9NXH9,1,1,1,1
Q9NYZ3,1,1,1,1
Q9NZ32,1,1,1,1
Q9NZD8,1,1,1,0
Q9P0V3,1,1,1,1
Q9P107,1,1,1,0
Q9P265,1,1,1,0
Q9P2S5,1,1,0,1
Q9UBZ4,1,1,1,1
Q9UDY2,1,1,1,1
Q9UFC0,1,1,1,1
Q9UH62,1,1,1,0
Q9UHI6,1,1,1,0
Q9UHR4,1,1,1,0
Q9UJK0,1,1,0,1
Q9UJP4,1,1,1,0
Q9UJX4,1,1,1,0
Q9UKJ5,1,1,0,1
Q9UKS6,1,1,1,1
Q9UM00,1,1,0,1
Q9UNA4,1,1,0,1
Q9UNE7,1,1,1,0
Q9UNK0,1,1,1,0
Q9UPU5,1,1,1,1
Q9UPZ3,1,1,1,0
Q9Y221,1,1,1,1
Q9Y2J4,1,1,0,1
Q9Y2X0,1,1,0,1
Q9Y314,1,1,1,1
Q9Y394,1,1,0,1
Q9Y3D8,1,1,0,1
Q9Y3T9,1,1,1,1
Q9Y4C2,1,1,0,1
Q9Y4C2-2,1,1,0,1
Q9Y4F1,1,1,0,1
Q9Y4G8,1,1,1,0
Q9Y4W2,1,1,1,0
Q9Y534,1,1,0,1
Q9Y5J1,1,1,1,1
Q9Y5U9,1,1,1,1
Q9Y678,1,1,0,1
Q9Y6A4,1,1,0,1
Q9Y6B2,1,1,1,0
Q9Y6B6,1,1,1,0
Q9Y6I3,1,1,1,1
Q9Y6Y8,1,1,0,1
O14828,1,1,1,1
O43290,1,1,1,1
P17302,1,1,1,0
P17544,1,1,1,1
P18615,1,1,1,1
P27105,1,1,1,0
P50548,1,1,1,1
P54252,1,1,0,1
P61956-2,1,1,0,1
Q00653,1,1,0,1
Q03933,1,1,1,1
Q08499,1,1,1,0
Q13426,1,1,0,1
Q13426-3,1,1,0,1
Q14592,1,1,0,1
Q6P2D0,1,1,0,1
Q99081,1,1,1,1
Q99607,1,1,0,1
Q9H063,1,1,0,1
Q9H2X6,1,1,1,0
Q9NWK9,1,1,0,1
Q9NYD6,1,1,1,0
Q9UHP3,1,1,1,1
Q9Y2D5,1,1,1,1
Q9Y4K3,1,1,0,1
O60502,1,1,0,1
O75694,1,1,0,1
P31431,1,1,0,1
Q8WWI1,1,1,1,1
Q9H467,1,1,1,1
O14495,1,1,0,1
O14672,1,1,0,1
P04035,1,1,1,1
P04626,1,1,0,1
P06756,1,1,0,1
P15260,1,1,0,1
P16144,1,1,0,1
P19021,1,1,1,1
P19022,1,1,1,0
P22223,1,1,0,1
P25116,1,1,0,1
P26006,1,1,0,1
P27037,1,1,0,1
P29317,1,1,0,1
P30825,1,1,0,1
P33897,1,1,1,0
P35613,1,1,1,1
P35613-2,1,1,0,1
P52799,1,1,0,1
P53801,1,1,0,1
P55085,1,1,0,1
P55291,1,1,1,0
P78536,1,1,0,1
Q01650,1,1,1,1
Q12907,1,1,0,1
Q13286,1,1,0,1
Q13433,1,1,0,1
Q14126,1,1,0,1
Q4KMQ2,1,1,0,1
Q5JTV8,1,1,0,1
Q658P3,1,1,1,1
Q6EMK4,1,1,0,1
Q6UX71,1,1,0,1
Q7KYR7,1,1,0,1
