shared name; Phosphorylation increase; Phosphorylation decrease;Ubiquitination increase;Ubiquitination decrease
A0A087WYR3;0;0;0;1
A0A0B4J1Z1;0;0;0;1
A0AVI2;0;1;0;0
A0AVT1;0;0;0;1
A0MZ66;1;0;1;0
A1L390;0;1;0;0
A2A3N6;0;1;0;0
A2A3R5;0;0;0;1
A6NEM2;0;0;1;0
A6NHR9;0;0;0;1
A6NIZ1;0;0;1;0
A6NLN1;0;0;0;1
A6ZKI3;0;0;0;1
A7E2V4;1;0;0;0
A8MXP9;0;0;1;0
B0QY89;0;0;0;1
B4DEH8;0;0;0;1
B4DGU4;0;0;1;0
B5ME19;0;0;1;0
B8ZZQ6;0;0;1;0
C9J0K6;0;0;0;1
C9J9C1;0;0;1;0
C9JE12;0;0;0;1
C9JFE4;0;0;0;1
C9JKI3;0;0;1;0
E7EVA0;0;0;1;0
E7EW69;0;0;1;0
E9PAV3;0;0;1;0
E9PF10;0;0;1;0
F8W1R7;0;0;0;1
F8W7C6;0;0;1;0
G3V1L9;0;0;1;0
G5E9T8;0;0;1;0
H0Y4V9;0;0;0;1
H0YD73;0;0;1;0
H0YIN8;0;0;0;1
H3BN98;0;0;0;1
H7BXI1;0;0;1;0
H7BY58;0;0;1;0
J3QR09;0;0;1;0
J3QRU1;0;0;0;1
O00124;0;0;0;1
O00139;0;0;1;0
O00148;0;0;1;0
O00154;0;0;1;0
O00161;0;0;0;1
O00186;0;0;0;1
O00193;1;0;1;0
O00203;0;1;0;0
O00214;0;0;0;1
O00231;0;0;1;0
O00232;0;0;0;1
O00233;0;0;0;1
O00264;1;0;0;1
O00267;0;0;0;1
O00268;0;0;0;1
O00291;0;0;0;1
O00299;0;0;0;1
O00401;1;0;0;0
O00410;0;0;0;1
O00418;0;1;1;0
O00425;0;0;0;1
O00429;0;1;0;0
O00458;0;0;0;1
O00470;1;0;0;0
O00471;0;0;0;1
O00479;0;0;0;1
O00487;0;0;0;1
O00499;0;1;0;0
O00505;1;0;0;0
O00541;0;0;1;0
O00559;0;1;0;0
O00567;1;0;1;0
O00571;0;1;0;0
O00712;0;1;0;0
O00767;0;0;0;1
O14493;0;0;0;1
O14495;0;0;1;0
O14497;1;0;0;0
O14545;0;1;0;1
O14562;0;0;1;0
O14579;0;0;0;1
O14617;0;1;0;0
O14639;1;0;0;0
O14646;0;1;0;0
O14672;0;0;0;1
O14737;0;1;0;1
O14744;0;0;0;1
O14745;0;1;0;1
O14763;0;0;1;0
O14763-2;0;0;1;0
O14776;0;0;1;0
O14818;0;0;1;0
O14828;1;0;1;0
O14874;0;1;0;0
O14908;0;0;0;1
O14910;0;0;0;1
O14936;0;0;1;0
O14939;0;0;0;1
O14964;0;0;0;1
O14972;0;0;0;1
O14974;1;0;0;0
O14975;0;0;1;0
O14977;0;0;1;0
O14979;0;0;1;0
O14980;0;0;1;0
O15014;0;1;0;0
O15018;0;1;0;0
O15020;0;1;0;0
O15027;1;0;0;0
O15037;0;0;0;1
O15047;0;1;0;0
O15061;1;0;0;0
O15067;0;1;0;0
O15084;0;0;0;1
O15126;0;0;1;0
O15143;1;0;0;0
O15144;0;0;0;1
O15145;0;0;0;1
O15155;1;0;0;0
O15162;0;0;1;0
O15173;1;0;0;0
O15212;0;0;1;0
O15231;1;0;0;0
O15234;0;1;0;0
O15258;0;0;0;1
O15260;0;0;0;1
O15269;0;0;0;1
O15294;0;0;1;0
O15304;0;0;0;1
O15344;0;0;1;0
O15347;0;0;1;0
O15355;0;0;0;1
O15357;1;0;0;0
O15371;0;0;1;0
O15372;0;1;0;0
O15379;1;0;0;0
O15400;0;0;1;0
O15427;0;0;1;0
O15439;0;0;1;0
O15479;0;0;0;1
O15498;0;0;1;0
O15511;0;0;0;1
O15525;0;0;1;0
O15551;0;0;0;1
O43143;0;0;0;1
O43148;0;0;1;0
O43166;0;1;0;0
O43175;0;0;1;0
O43237;0;1;0;0
O43242;0;0;0;1
O43252;0;0;0;1
O43290;1;0;0;0
O43291;0;0;0;1
O43294;0;1;0;0
O43390;0;0;1;0
O43395;1;0;0;0
O43396;0;0;1;0
O43432;0;1;0;0
O43447;0;0;1;0
O43491;1;0;0;1
O43516;0;1;0;0
O43583;1;0;0;0
O43617;0;0;0;1
O43633;0;0;0;1
O43665;0;0;0;1
O43684;0;0;1;0
O43684-2;0;0;0;1
O43688;0;0;1;0
O43707;1;0;0;1
O43709;0;0;0;1
O43719;1;0;0;0
O43752;0;0;1;0
O43765;0;0;0;1
O43768;0;1;0;0
O43776;0;0;1;0
O43791;0;0;1;0
O43795;0;0;1;0
O43809;0;0;0;1
O43847;1;0;0;0
O60216;0;1;1;0
O60231;1;0;0;0
O60234;0;0;0;1
O60238;1;0;0;0
O60245;0;1;0;0
O60256;0;1;0;0
O60262;0;0;0;1
O60264;0;1;0;1
O60271;1;0;0;0
O60291;0;0;0;1
O60293;1;0;0;0
O60307;0;0;0;1
O60331;0;0;0;1
O60331-4;0;0;0;1
O60343;1;0;0;0
O60437;0;1;1;0
O60488;0;0;0;1
O60488-2;0;0;0;1
O60493;0;0;0;1
O60496;0;0;1;0
O60502;0;0;1;0
O60504;0;1;0;0
O60506;0;0;1;0
O60566;0;1;0;0
O60664;0;0;0;1
O60678;1;0;0;0
O60683;1;0;0;0
O60716;0;1;0;0
O60725;0;0;0;1
O60749;0;0;0;1
O60763;1;0;0;0
O60784;1;0;1;0
O60814;0;0;0;1
O60825;1;0;1;0
O60832;0;1;0;0
O60841;0;1;0;0
O60869;0;0;0;1
O60884;0;0;0;1
