original_id,Salmonella,Shigella
P49368,1,1
P16949,1,1
Q07820,1,1
P37108,1,1
Q99942,1,1
Q9P260,1,1
O75122,1,1
O75676,1,1
Q8NI08,1,1
P49585,1,1
Q8WXE1,1,1
P47813,1,1
Q9Y265,1,1
P61289,1,1
Q14331,1,1
Q9NXC5,1,1
P20290,1,1
Q9NV88,1,1
Q96QC0,1,1
Q92922,1,1
Q08945,1,1
Q8IYB3,1,1
Q9H9T3,1,1
P52756,1,1
O43143,1,1
P49427,1,1
Q99598,1,1
P61011,1,1
Q9UJM3,1,1
Q14152,1,1
Q14204,1,1
P62906,1,1
Q13541,1,1
Q14432,1,1
Q15388,1,1
O60784,1,1
Q15418,1,1
P12270,1,1
Q9BXF6,1,1
Q96EA4,1,1
Q6P6C2,1,1
P05387,1,1
Q7L2J0,1,1
P07195,1,1
O00232,1,1
Q13427,1,1
P09429,1,1
O14617,1,1
O14545,1,1
Q9NRN7,1,1
Q9UDY2,1,1
P78344,1,1
P12268,1,1
P23634,1,1
P35241,1,1
P49458,1,1
Q06265,1,1
Q9NQ34,1,1
Q8WUM4,1,1
P63173,1,1
Q99436,1,1
Q99700,1,1
Q6PKG0,1,1
P23526,1,1
P20618,1,1
P30041,1,1
P02794,1,1
Q9BVK6,1,1
Q9H410,1,1
P30086,1,1
P51858,1,1
P48651,1,1
Q8N1G0,1,1
P31946,1,1
P11137,1,1
P49327,1,1
Q00765,1,1
P27816,1,1
Q00613,1,1
P23528,1,1
Q99832,1,1
Q15527,1,1
Q9NP77,1,1
Q14160,1,1
Q9BRS2,1,1
P23396,1,1
P26641,1,1
Q13576,1,1
O14980,1,1
P11387,1,1
Q03135,1,1
P50502,1,1
P04035,1,1
Q13283,1,1
P50148,1,1
Q9P0L0,1,1
P49736,1,1
Q8IZ07,1,1
P84101,1,1
Q9H444,1,1
Q9UHD9,1,1
Q58WW2,1,1
Q9NX09,1,1
Q14344,1,1
Q8WUF5,1,1
Q99613,1,1
P08559,1,1
Q13247,1,1
Q15717,1,1
Q7Z422,1,1
Q13177,1,1
Q8N3X1,1,1
O75376,1,1
P62258,1,1
P40222,1,1
P49321,1,1
Q9P258,1,1
Q6Y1H2,1,1
O14737,1,1
P16220,1,1
P62829,1,1
P46821,1,1
P62316,1,1
O00767,1,1
Q8TAQ2,1,1
P60604,1,1
Q8WXW3,1,1
P49207,1,1
O95573,1,1
Q9H3S7,1,1
Q9BUR4,1,1
P61586,1,1
Q53GS9,1,1
Q8TCJ2,1,1
O75569,1,1
P07355,1,1
Q5SRE5,1,1
P43487,1,1
Q9H3Q1,1,1
Q9UIG0,1,1
P24928,1,1
Q8IVF2,1,1
Q9H0D6,1,1
Q9BW71,1,1
O95139,1,1
Q12933,1,1
P60174,1,1
Q8NEF9,1,1
Q9Y2X3,1,1
