Proteins,Shigella,Salmonella,Entry name,Status,Protein names,Length
A0A087WWM0,0,1,A0A087WWM0_HUMAN,unreviewed,Trafficking protein particle complex subunit,188
A0A087WYR3,1,0,A0A087WYR3_HUMAN,unreviewed,Tumor protein D54,222
A0A087WZK9,0,1,A0A087WZK9_HUMAN,unreviewed,Eukaryotic translation initiation factor 3 subunit H (eIF3h) (Eukaryotic translation initiation factor 3 subunit 3) (eIF-3 gamma) (eIF3 p40 subunit),349
A0A087X253,0,1,A0A087X253_HUMAN,unreviewed,AP complex subunit beta,913
A0A087X2I1,0,1,A0A087X2I1_HUMAN,unreviewed,26S proteasome regulatory subunit 10B,403
A0A0B4J1Z1,1,0,A0A0B4J1Z1_HUMAN,unreviewed,Serine/arginine-rich-splicing factor 7 (Splicing factor, arginine/serine-rich 7, 35kDa, isoform CRA_a),137
A0AVI2,1,0,FR1L5_HUMAN,reviewed,Fer-1-like protein 5,2057
A0AVT1,1,1,UBA6_HUMAN,reviewed,Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2),1052
A0MZ66,1,1,SHOT1_HUMAN,reviewed,Shootin-1 (Shootin1),631
A1L390,1,0,PKHG3_HUMAN,reviewed,Pleckstrin homology domain-containing family G member 3 (PH domain-containing family G member 3),1219
A2A3N6,1,0,PIPSL_HUMAN,reviewed,Putative PIP5K1A and PSMD4-like protein (PIP5K1A-PSMD4),862
A2A3R5,1,0,A2A3R5_HUMAN,unreviewed,40S ribosomal protein S6,218
A6NEM2,1,0,A6NEM2_HUMAN,unreviewed,Host cell factor 1,2080
A6NHR9,1,0,SMHD1_HUMAN,reviewed,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-),2005
A6NIZ1,1,0,RP1BL_HUMAN,reviewed,Ras-related protein Rap-1b-like protein,184
A6NLN1,1,0,A6NLN1_HUMAN,unreviewed,Polypyrimidine tract-binding protein 1,527
A6ZKI3,1,0,RTL8C_HUMAN,reviewed,Retrotransposon Gag-like protein 8C (Mammalian retrotransposon derived protein 8C),113
A7E2V4,1,0,ZSWM8_HUMAN,reviewed,Zinc finger SWIM domain-containing protein 8,1837
A8MXP9,1,0,A8MXP9_HUMAN,unreviewed,Matrin-3,895
